filepath,is_leak,leak_conf_mean,per_long_probs_json,long_pos_frac,notes
/DEVELOPMENT/DATASET_REFERENCE/INFERENCE/LEAK/leak-ductiron-1400mm-rec33780695.wav,0,0.0,[],0.0,error:RuntimeError:required rank 4 tensor to use channels_last format
/DEVELOPMENT/DATASET_REFERENCE/INFERENCE/LEAK/leak-ductiron-1400mm-rec33780748.wav,0,0.0,[],0.0,error:RuntimeError:required rank 4 tensor to use channels_last format
/DEVELOPMENT/DATASET_REFERENCE/INFERENCE/LEAK/leak-ductiron-1400mm-rec33784593.wav,0,0.0,[],0.0,error:RuntimeError:required rank 4 tensor to use channels_last format
/DEVELOPMENT/DATASET_REFERENCE/INFERENCE/LEAK/leak-ductiron-1400mm-rec33796807.wav,0,0.0,[],0.0,error:RuntimeError:required rank 4 tensor to use channels_last format
/DEVELOPMENT/DATASET_REFERENCE/INFERENCE/LEAK/leak-ductiron-1400mm-rec33799440.wav,0,0.0,[],0.0,error:RuntimeError:required rank 4 tensor to use channels_last format
/DEVELOPMENT/DATASET_REFERENCE/INFERENCE/LEAK/leak-ductiron-1400mm-rec33799680.wav,0,0.0,[],0.0,error:RuntimeError:required rank 4 tensor to use channels_last format
/DEVELOPMENT/DATASET_REFERENCE/INFERENCE/LEAK/leak-ductiron-1400mm-rec33800196.wav,0,0.0,[],0.0,error:RuntimeError:required rank 4 tensor to use channels_last format
/DEVELOPMENT/DATASET_REFERENCE/INFERENCE/LEAK/leak-ductiron-1400mm-rec33800442.wav,0,0.0,[],0.0,error:RuntimeError:required rank 4 tensor to use channels_last format
/DEVELOPMENT/DATASET_REFERENCE/INFERENCE/LEAK/leak-ductiron-1400mm-rec33800897.wav,0,0.0,[],0.0,error:RuntimeError:required rank 4 tensor to use channels_last format
/DEVELOPMENT/DATASET_REFERENCE/INFERENCE/LEAK/leak-ductiron-1400mm-rec33801033.wav,0,0.0,[],0.0,error:RuntimeError:required rank 4 tensor to use channels_last format
/DEVELOPMENT/DATASET_REFERENCE/INFERENCE/LEAK/leak-ductiron-1400mm-rec33801099.wav,0,0.0,[],0.0,error:RuntimeError:required rank 4 tensor to use channels_last format
/DEVELOPMENT/DATASET_REFERENCE/INFERENCE/LEAK/leak-ductiron-1400mm-rec33801315.wav,0,0.0,[],0.0,error:RuntimeError:required rank 4 tensor to use channels_last format
/DEVELOPMENT/DATASET_REFERENCE/INFERENCE/LEAK/leak-ductiron-1400mm-rec33801492.wav,0,0.0,[],0.0,error:RuntimeError:required rank 4 tensor to use channels_last format
/DEVELOPMENT/DATASET_REFERENCE/INFERENCE/LEAK/leak-ductiron-1400mm-rec33801576.wav,0,0.0,[],0.0,error:RuntimeError:required rank 4 tensor to use channels_last format
/DEVELOPMENT/DATASET_REFERENCE/INFERENCE/LEAK/leak-ductiron-1400mm-rec33801607.wav,0,0.0,[],0.0,error:RuntimeError:required rank 4 tensor to use channels_last format
/DEVELOPMENT/DATASET_REFERENCE/INFERENCE/LEAK/leak-ductiron-1400mm-rec33801621.wav,0,0.0,[],0.0,error:RuntimeError:required rank 4 tensor to use channels_last format
/DEVELOPMENT/DATASET_REFERENCE/INFERENCE/LEAK/leak-ductiron-1400mm-rec33801646.wav,0,0.0,[],0.0,error:RuntimeError:required rank 4 tensor to use channels_last format
/DEVELOPMENT/DATASET_REFERENCE/INFERENCE/LEAK/leak-ductiron-1400mm-rec33801902.wav,0,0.0,[],0.0,error:RuntimeError:required rank 4 tensor to use channels_last format
